particleNum,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,Skew,Kurt,%Area,RawIntDen,AR,Round,Solidity,colocalized
139,0.06,255,0,255,255,255,22.007,66.503,0.184,15.24,255,NaN,NaN,100,3060,3.439,0.291,0.49,no
140,0.025,255,0,255,255,255,21.673,66.458,0.388,6.35,255,NaN,NaN,100,1275,2.366,0.423,0.476,no
141,0.02,255,0,255,255,255,41.214,66.515,0.513,5.08,255,NaN,NaN,100,1020,3.873,0.258,0.571,no
142,0.05,255,0,255,255,255,49.295,66.712,0.497,12.7,255,NaN,NaN,100,2550,2.564,0.39,0.69,no
143,0.02,255,0,255,255,255,49.26,66.903,1,5.08,255,NaN,NaN,100,1020,1,1,1,no
144,0.144,246.207,47.352,255,0,255,49.749,67.329,0.161,35.561,255,-5.103,24.036,96.552,7140,2.88,0.347,0.446,no
145,0.015,255,0,255,255,255,82.817,66.985,0.524,3.81,255,NaN,NaN,100,765,1.567,0.638,0.6,no
146,0.05,255,0,255,255,255,84.983,68.752,0.382,12.7,255,NaN,NaN,100,2550,2.821,0.354,0.606,no
147,0.03,255,0,255,255,255,83.405,68.749,0.589,7.62,255,NaN,NaN,100,1530,1.915,0.522,0.632,no
148,0.015,255,0,255,255,255,83.57,68.961,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
149,0.035,218.571,96.381,255,0,255,85.228,69.114,0.898,7.62,255,-2.041,2.167,85.714,1530,1.571,0.636,0.737,no
150,0.03,255,0,255,255,255,56.858,69.349,1,7.62,255,NaN,NaN,100,1530,1.291,0.775,0.8,no
151,0.115,243.913,53.171,255,0,255,57.276,69.642,0.246,27.94,255,-4.477,18.045,95.652,5610,3.807,0.263,0.561,no
152,0.035,255,0,255,255,255,57.189,70.366,0.687,8.89,255,NaN,NaN,100,1785,1.687,0.593,0.7,no
153,0.129,235.385,69.295,255,0,255,58.946,70.643,0.292,30.481,255,-3.175,8.083,92.308,6120,1.948,0.513,0.591,no
154,0.015,255,0,255,255,255,85.946,70.467,0.643,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
155,0.015,255,0,255,255,255,84.275,70.608,0.524,3.81,255,NaN,NaN,100,765,1.567,0.638,0.6,no
156,0.02,255,0,255,255,255,85.71,70.643,1,5.08,255,NaN,NaN,100,1020,2.031,0.492,0.8,no
157,0.015,255,0,255,255,255,56.776,70.772,0.754,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
158,0.015,255,0,255,255,255,58.422,70.89,0.643,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
159,0.07,218.571,92.6,255,0,255,78.947,70.949,0.37,15.24,255,-2.041,2.167,85.714,3060,1.41,0.709,0.549,no
160,0.035,255,0,255,255,255,58.731,71.293,0.543,8.89,255,NaN,NaN,100,1785,1.289,0.776,0.609,no
161,0.03,255,0,255,255,255,77.536,71.655,0.348,7.62,255,NaN,NaN,100,1530,2.212,0.452,0.462,no
162,0.02,255,0,255,255,255,77.789,71.684,0.857,5.08,255,NaN,NaN,100,1020,2,0.5,0.8,no
163,0.02,255,0,255,255,255,76.695,71.755,0.857,5.08,255,NaN,NaN,100,1020,2,0.5,0.8,no
164,0.095,255,0,255,255,255,77.981,72.045,0.228,24.13,255,NaN,NaN,100,4845,2.203,0.454,0.463,no
165,0.04,255,0,255,255,255,78.009,72.54,0.52,10.16,255,NaN,NaN,100,2040,1.386,0.721,0.593,no
166,0.02,255,0,255,255,255,30.999,72.76,0.539,5.08,255,NaN,NaN,100,1020,3.093,0.323,0.667,no
167,0.015,255,0,255,255,255,30.875,72.866,0.809,3.81,255,NaN,NaN,100,765,3,0.333,1,no
168,0.04,255,0,255,255,255,55.523,73.254,0.349,10.16,255,NaN,NaN,100,2040,1.542,0.648,0.533,no
169,0.015,255,0,255,255,255,89.286,73.195,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
170,0.02,255,0,255,255,255,78.9,73.854,0.857,5.08,255,NaN,NaN,100,1020,2.031,0.492,0.8,no
171,0.065,235.385,70.724,255,0,255,30.87,74.066,0.269,15.24,255,-3.175,8.083,92.308,3060,1.204,0.83,0.531,no
172,0.025,255,0,255,255,255,78.47,74.038,0.444,6.35,255,NaN,NaN,100,1275,1.422,0.703,0.556,no
173,0.159,239.062,62.713,255,0,255,31.327,74.562,0.128,38.101,255,-3.615,11.067,93.75,7650,1.773,0.564,0.478,no
174,0.065,255,0,255,255,255,53.812,74.299,0.153,16.51,255,NaN,NaN,100,3315,1.692,0.591,0.426,no
175,0.045,255,0,255,255,255,54.674,74.356,0.314,11.43,255,NaN,NaN,100,2295,2.703,0.37,0.486,no
